класс,Вопрос,Ответ,bloom_id,answerability_score,leakage_score,accuracy_score,answerability_verdict,hint_verdict,fact_verdict,answerability_issue_type,hint_issue_type,fact_error_type,Domain
7 класс,"Даны три примера: падение книги с полки, горение свечи и нагревание воды в чайнике. Определи, какой из примеров не относится к физическим явлениям.","Горение свечи относится к химическим явлениям, а не к физическим, так как влечёт за собой химические реакции с образованием новых веществ. Падение книги и нагревание воды — физические процессы.",12,3.0,75.0,3.0,Good,FAIL,Mostly Correct,Minor Issues / Implicit Context,MULTICHOICE_ELIMINATION,Minor Nitpick,physics
8 класс,"Почему водяные капли принимают форму шара, когда находятся в воздухе?","Водяные капли принимают форму шара из-за поверхностного натяжения, которое стремится минимизировать площадь поверхности при заданном объёме.",14,4.0,15.0,4.0,Perfect,PASS,Perfect,,OK,,physics
9 класс,"Даны следующие ситуации: 1) камень падает с крыши без начальной скорости; 2) лист бумаги падает в воздухе; 3) шарик падает в вакууме. Определи, в каких из них тело движется с ускорением свободного падения.","Тело движется с ускорением свободного падения в ситуациях 1 и 3, так как в этих случаях на него действует только сила тяжести (в вакууме или при пренебрежении сопротивлением воздуха). В ситуации 2 сила сопротивления воздуха изменяет ускорение.",8,3.0,30.0,4.0,Good,REVIEW,Perfect,Implicit Context,LEADING HINT,,physics
10 класс,"Приведите пример физического закона, используя определение: это общее утверждение, описывающее фундаментальные взаимосвязи между физическими величинами в природе, выведенное на основе эмпирических данных и подтверждённое теоретическими моделями. Определите, к какому из следующих понятий — закону сохранения энергии, закону всемирного тяготения или закону Ома — относится ваш пример.","Примером физического закона является **закон сохранения энергии в колебательном контуре**, описывающий преобразование энергии между электрическим полем конденсатора и магнитным полем катушки, подтверждённый экспериментами и теорией. Он относится к **закону сохранения энергии**.",7,3.0,35.0,4.0,Good,REVIEW,Perfect,Implicit Context,LEADING HINT,,physics
11 класс,"Приведите пример, как можно определить направление силы Ампера, используя правило левой руки.","Для определения направления силы Ампера, используя правило левой руки, расположите руку так, чтобы четыре пальца указывали направление тока в проводнике, а магнитные линии входили в ладонь; тогда большой палец покажет направление силы Ампера.",6,3.0,10.0,1.0,Good,PASS,False,Minor Issues / Implicit Context,OK,Hallucination,physics
7 класс,"Почему звук не распространяется в вакууме, если звуковые волны требуют среды для своего распространения?","Звук не распространяется в вакууме, так как его волны требуют среды для передачи колебаний, а в вакууме отсутствуют частицы, способные взаимодействовать и передавать энергию. Это связано с тем, что звуковые волны являются механическими и не могут существовать без материальной среды.",14,4.0,10.0,4.0,Perfect,PASS,Perfect,,OK,,physics
10 класс,Прочитайте определение механического движения: это изменение положения тела или его частей в пространстве относительно других тел с течением времени. Сформулируйте основную идею этого определения своими словами.,Механическое движение — это изменение положения тела относительно других тел с течением времени.,9,3.0,10.0,4.0,Good,PASS,Perfect,Implicit Context,OK,,physics
8 класс,"Скорость движения молекул газа в замкнутом сосуде равна 500 м/с. Выразите это утверждение словами, описывая движение частиц газа.",Частицы газа движутся со скоростью 500 м/с.,5,3.0,10.0,1.0,Good,PASS,False,Implicit Context,OK,Hallucination,physics
7 класс,"Строение вещества описывает пространственное расположение и взаимное связывание частиц. Заполните пропуск: «Строение вещества — это ___ частиц, из которых состоит вещество».","Строение вещества — это **взаимодействие** частиц, из которых состоит вещество.",4,4.0,30.0,3.0,Perfect,REVIEW,Mostly Correct,,LEADING HINT,Terminology,physics
9 класс,"Как можно изменить угол броска тела, чтобы увеличить его горизонтальную дальность при прочих равных условиях?","Чтобы увеличить горизонтальную дальность при броске тела, угол броска следует установить в 45° относительно горизонта, так как при этом достигается максимальное значение функции sin(2θ) в формуле дальности для движения тела, брошенного под углом к горизонту.",16,3.0,10.0,3.0,Good,PASS,Mostly Correct,Implicit Context,OK,Minor Nitpick,physics
11 класс,"Почему сила тока в электрической цепи увеличивается, если напряжение на её концах возрастает при неизменном сопротивлении?",Сила тока увеличивается пропорционально напряжению при постоянном сопротивлении согласно закону ома для участка цепи.,14,4.0,10.0,4.0,Perfect,PASS,Perfect,,OK,,physics
10 класс,"Если наблюдатель, находящийся в движущемся поезде, замечает, что пассажир сидит неподвижно, то как изменится описание движения этого пассажира для наблюдателя, стоящего на платформе?","Для наблюдателя на платформе пассажир движется вместе с поездом, так как он находится в другой инерциальной системе отсчёта. Описание движения зависит от выбора системы отсчёта.",17,3.0,10.0,4.0,Good,PASS,Perfect,Implicit Context,OK,,physics
8 класс,"Опишите, как каждая часть модели кристаллической решётки (узлы, атомы, силы взаимодействия) соответствует элементам строения твёрдого тела, такими как ячейки, частицы и связи между ними.","Узлы кристаллической решётки соответствуют ячейкам твёрдого тела, атомы — частицам, а силы взаимодействия — связям между ними.",13,3.0,10.0,3.0,Good,PASS,Mostly Correct,Implicit Context,OK,Terminological Error,physics
9 класс,"Дано тело, находящееся в точке с координатами (3, 4, 5) в определённый момент времени. Какой физический объект определяется как вектор, проведённый из начала координат в эту точку?",Это радиус-вектор материальной точки.,7,4.0,10.0,3.0,Perfect,PASS,Mostly Correct,,OK,Terminological Error,physics
11 класс,"Два проводника с током создают в точке A магнитные поля B₁ = 0,3 Тл и B₂ = 0,4 Тл, направленные под прямым углом друг к другу. Определите модуль результирующего магнитного поля в точке A, используя принцип суперпозиции магнитных полей.","Модуль результирующего магнитного поля определяется по принципу суперпозиции магнитных полей как $ B = \sqrt{B_1^2 + B_2^2} = \sqrt{0{,}3^2 + 0{,}4^2} = 0{,}5 \, \text{Тл} $.",5,4.0,10.0,,Perfect,PASS,,,OK,,physics
7 класс,"Даны три вещества: вода, кислород и железо. Два из них состоят из молекул, а один — нет. Какое вещество не относится к остальным по этому признаку?","Железо не состоит из молекул, так как оно представляет собой металлическую кристаллическую решётку из атомов, а не молекул. Вода и кислород состоят из молекул.",12,4.0,30.0,4.0,Perfect,REVIEW,Perfect,,LEADING HINT,,physics
10 класс,"Даны следующие утверждения: 1) молекулы газа не взаимодействуют между собой; 2) молекулы газа имеют значительный объем; 3) газ подчиняется уравнению состояния $ PV = nRT $. Определите, какие из этих утверждений относятся к идеальному газу, а какие не относятся.","Утверждения 1 и 3 относятся к идеальному газу, так как модель идеального газа предполагает отсутствие взаимодействия между молекулами и подчинение уравнению $ PV = nRT $, тогда как утверждение 2 неверно, поскольку в модели идеального газа молекулы считаются точечными и не обладают значительным объемом.",8,4.0,30.0,,Perfect,REVIEW,,,LEADING_HINT,,physics
8 класс,Что такое свойства жидкостей?,"Свойства жидкостей включают тепловое расширение, поверхностное натяжение и способность передавать давление по всем направлениям.",3,2.0,30.0,4.0,Ambiguous,REVIEW,Perfect,Missing Data,OK,,physics
11 класс,"В ходе опыта Эрстеда было обнаружено, что электрический ток воздействует на магнитную стрелку компаса. Какое физическое явление или принцип демонстрирует этот опыт?","Опыт Эрстеда демонстрирует явление **магнитного поля проводника с током**, то есть наличие магнитного поля вокруг электрического тока, что подтверждает связь между электричеством и магнетизмом.",7,4.0,10.0,4.0,Perfect,PASS,Perfect,,OK,,physics
